date,temp,humidity,wind,cloud,rain,fog_observed,castle_visible,note,fog_probability,castle_probability,fog_score,castle_score,dew_point,dew_spread,event,updated_at,castle_event_probability
2021-01-14,4.525,76.5,9.3,56.5,0.0,0,0,,0.457,0.703,29.7,15.5,0.75,3.77,,2025-11-06T10:54:29.751557+09:00,0.0841441830100895
2021-01-15,-3.15,89.5,6.125,0.0,0.0,1,1,,0.694,0.941,57.2,33.2,-4.63,1.48,FogOnly,2025-11-06T10:54:34.382732+09:00,0.9721523097349328
2021-01-25,-0.475,97.5,4.525,60.5,0.0,0,0,,0.449,0.636,70.8,70.8,-0.82,0.35,,2025-11-06T10:52:46.882332+09:00,0.0840070979197405
2021-01-26,4.2,76.0,13.875,89.25,0.0,1,1,,0.09,0.695,28.7,13.9,0.34,3.86,,2025-11-06T10:52:51.454912+09:00,0.6679830307942092
2021-02-20,0.875,79.25,12.25,5.75,0.0,0,0,,0.673,0.839,36.7,6.7,-2.31,3.19,FogOnly,2025-11-06T10:51:07.241487+09:00,0.065605960268291
2021-02-21,5.9,86.0,9.6,3.75,0.0,1,0,,0.73,0.935,49.0,26.0,3.74,2.16,Castle,2025-11-06T10:51:11.801959+09:00,0.2112463369722297
2021-03-08,3.45,85.5,3.075,92.5,0.0,0,0,,0.284,0.349,57.8,54.2,1.25,2.2,,2025-11-06T10:49:22.235634+09:00,0.0212730497513284
2021-03-09,-0.6500000000000001,86.5,1.65,53.5,0.0,1,1,,0.911,0.122,74.8,74.8,-2.62,1.97,FogOnly,2025-11-06T10:49:27.445369+09:00,0.9068989312782396
2021-10-02,19.175,90.75,8.174999999999999,53.0,0.075,0,0,,0.323,0.698,56.0,56.0,17.63,1.55,,2025-11-06T09:43:38.400205+09:00,0.0208075297406166
2021-10-03,16.674999999999997,87.5,4.2,1.0,0.0,1,0,,0.852,0.677,50.0,25.9,14.59,2.09,Castle,2025-11-06T09:43:43.342263+09:00,0.2490361352110249
2021-10-26,12.15,90.75,3.85,17.0,0.0,0,0,,0.709,0.618,58.9,45.1,10.68,1.47,Castle,2025-11-06T09:35:12.444572+09:00,0.0267628403270724
2021-10-27,10.975,91.5,7.1,98.5,0.0,1,1,,0.584,0.507,59.0,52.2,9.64,1.33,FogOnly,2025-11-06T09:35:17.177718+09:00,0.8824404353109024
2021-10-28,11.15,88.0,3.375,23.75,0.0,1,1,,0.764,0.704,58.3,48.5,9.24,1.91,Castle,2025-11-06T09:35:21.401838+09:00,0.9647410267768604
2021-11-03,9.825,93.25,4.7,83.0,0.0,0,0,,0.298,0.45,62.5,62.5,8.79,1.04,,2025-11-06T09:34:32.196883+09:00,0.0182305179538555
2021-11-04,7.325,88.75,4.725,7.5,0.0,1,1,,0.909,0.471,54.2,34.7,5.59,1.73,FogOnly,2025-11-06T09:34:36.734280+09:00,0.9627094661646872
2021-11-05,10.075,83.5,3.65,34.25,0.0,1,1,,0.205,0.511,46.5,37.7,7.41,2.67,,2025-11-06T09:34:41.426014+09:00,0.7326348200885741
2021-11-27,3.1,93.0,5.65,86.25,0.775,0,0,,0.093,0.617,58.9,58.9,2.08,1.02,,2025-11-06T09:34:02.171901+09:00,0.0246958409431637
2021-11-28,3.65,83.25,6.575,13.5,0.0,1,1,,0.976,0.78,44.1,23.6,1.07,2.58,Castle,2025-11-06T09:34:07.532828+09:00,0.8890376033345174
2021-12-09,7.5,78.0,5.6,21.25,0.0,0,0,,0.176,0.867,31.9,8.0,3.91,3.59,,2025-11-06T09:39:27.260213+09:00,0.0776607064505499
2021-12-10,5.5,87.0,7.375,99.75,0.0,1,0,,0.223,0.442,51.1,43.3,3.51,1.99,,2025-11-06T09:39:31.843974+09:00,0.0313393299843984
2021-12-21,5.4,77.25,9.075,93.0,0.0,0,0,,0.654,0.505,31.0,15.3,1.74,3.66,FogOnly,2025-11-06T09:33:25.548246+09:00,0.0374521570191713
2021-12-22,5.5,87.75,14.075,100.0,0.0,1,1,,0.934,0.752,52.6,44.6,3.63,1.87,Castle,2025-11-06T09:33:30.445234+09:00,0.8983904741255041
2021-12-23,1.3750000000000002,54.75,3.775,5.0,0.0,0,0,,0.724,0.768,17.2,0.0,-6.75,8.12,Castle,2025-11-06T09:37:37.529275+09:00,0.1059144718249068
2021-12-24,6.5,89.5,6.35,94.0,0.025,1,0,,0.091,0.673,55.6,52.4,4.9,1.6,,2025-11-06T09:37:42.782302+09:00,0.0896877657301737
2022-01-02,-6.4,86.5,9.675,22.25,0.0,1,0,,0.822,0.67,52.4,41.8,-8.28,1.88,Castle,2025-11-06T09:32:55.603536+09:00,0.2947725420166666
2022-01-03,-0.8999999999999999,86.5,4.025,69.25,0.0,1,1,,0.04,0.67,51.4,51.4,-2.87,1.97,,2025-11-06T09:33:00.366671+09:00,0.9416448153473008
2022-01-09,0.5,83.75,6.4750000000000005,70.75,0.0,0,0,,0.351,0.505,45.8,42.4,-1.93,2.43,,2025-11-06T09:32:27.594217+09:00,0.0317278474529712
2022-01-10,-0.525,95.25,3.625,28.5,0.0,1,1,,0.47,0.872,70.8,63.9,-1.19,0.67,,2025-11-06T09:32:31.901590+09:00,0.9540911094439384
2022-01-15,-0.95,82.5,5.775,100.0,0.0,0,0,,0.724,0.444,43.8,30.9,-3.55,2.6,FogOnly,2025-11-06T09:31:10.391089+09:00,0.0333649477368413
2022-01-16,-3.0,85.75,10.3,17.5,0.0,1,1,,0.767,0.657,50.4,36.5,-5.05,2.05,Castle,2025-11-06T09:31:15.503218+09:00,0.9152622373829016
2022-01-18,-1.75,90.0,9.725,90.5,0.25,0,0,,0.171,0.673,56.7,56.3,-3.17,1.42,,2025-11-06T09:30:21.827625+09:00,0.023854366295565
2022-01-19,-2.2,77.25,2.625,47.75,0.0,1,0,,0.944,0.711,47.4,35.8,-5.65,3.45,Castle,2025-11-06T09:30:26.533871+09:00,0.1197367147671529
